Date/Time,Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),WaterSystems:NaturalGas [J](Hourly)
2020-01-01T01:00:00Z,0,13517796.12,182286476.1,9649497.642,53294400,57896985.85,9807470.316,30384.33882,72000
2020-01-01T02:00:00Z,0,17717617.15,177367416.5,9649497.642,53294400,57896985.85,8392591.484,30384.33882,72000
2020-01-01T03:00:00Z,0,25310614.61,235785509,9649497.642,53294400,57896985.85,10490739.35,30384.33882,3970731.799
2020-01-01T04:00:00Z,0,20001989.01,184762495.4,9649497.642,53294400,57896985.85,8392591.484,30384.33882,72000
2020-01-01T05:00:00Z,0,27925599.38,245249657.4,9649497.642,53294400,57896985.85,10490739.35,30384.33882,3970994.827
2020-01-01T06:00:00Z,0,21886933.34,190670331.2,9649497.642,53294400,57896985.85,8392591.484,30384.33882,72000
2020-01-01T07:00:00Z,0,29745424.15,252272477.3,9649497.642,53294400,57896985.85,10490739.35,30384.33882,3970782.281
2020-01-01T08:00:00Z,0,23071345.08,188701991.3,9649497.642,17764800,57896985.85,8392591.484,30384.33882,72000
2020-01-01T09:00:00Z,0,29165865.24,186832073.3,9649497.642,0,57896985.85,10490739.35,30384.33882,3970831.407
2020-01-01T10:00:00Z,0,20299449.52,110152684.3,9649497.642,0,57896985.85,8392591.484,30384.33882,72000
2020-01-01T11:00:00Z,0,22344550.32,125198968.9,9649497.642,0,57896985.85,10490739.35,30384.33882,72000
2020-01-01T12:00:00Z,0,13661598.03,91414451.72,9649497.642,0,57896985.85,8392591.484,30384.33882,3970632.409
2020-01-01T13:00:00Z,0,14016534.29,103263263.5,9649497.642,0,57896985.85,7195246.044,30384.33882,3970696.243
2020-01-01T14:00:00Z,0,7895882.183,80066924.62,9649497.642,0,57896985.85,5756196.836,30384.33882,72000
2020-01-01T15:00:00Z,0,8137731.656,103689141.1,9649497.642,0,57896985.85,7195246.044,30384.33882,3970885.22
2020-01-01T16:00:00Z,0,4650477.008,85652113.44,9649497.642,0,57896985.85,5756196.836,30384.33882,72000
2020-01-01T17:00:00Z,0,6436991.917,126161181.9,9649497.642,35529600,57896985.85,9172542.03,30384.33882,3970894.415
2020-01-01T18:00:00Z,0,4192705.355,108444145.8,9649497.642,53294400,57896985.85,8392591.484,30384.33882,72000
2020-01-01T19:00:00Z,0,7388221.887,147192908.1,9649497.642,53294400,57896985.85,10490739.35,30384.33882,3970943.001
2020-01-01T20:00:00Z,0,5450562.739,118339175.1,9649497.642,53294400,57896985.85,8392591.484,30384.33882,72000
2020-01-01T21:00:00Z,0,8207012.242,151657524.2,9649497.642,53294400,57896985.85,10490739.35,30384.33882,72000
2020-01-01T22:00:00Z,0,6180653.542,120590532.5,9649497.642,53294400,57896985.85,8392591.484,30384.33882,3971364.3
2020-01-01T23:00:00Z,0,9177797.539,158767153.6,9649497.642,53294400,57896985.85,10490739.35,30384.33882,3970783.734
