Time,CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,6.074987E+03,3.328847E+03,2.054329E-01,2.346511E-01,8.139901E+03,7.964418E+03,2.752604E-01,5.614158E-01,2.644424E+04,9.871841E+03,8.942433E-01,6.958674E-01,9.836552E+03,1.878821E+02,3.325430E-01,1.324889E-02,6.532347E+03,2.735849E+02,2.208361E-01,1.931253E-02,9.690334E+03,4.201014E+02,3.275997E-01,2.966687E-02,6.521867E+03,1.996050E+02,2.204818E-01,1.407094E-02,1.062379E+04,1.145984E+03,3.591581E-01,8.079624E-02,7.004714E+03,7.021187E+02,2.368058E-01,4.950215E-02,1.049805E+04,1.061337E+03,3.549069E-01,7.482778E-02,7.038233E+03,9.684254E+02,2.379390E-01,6.827992E-02,1.481495E+04,1.519819E+03,5.008545E-01,1.071557E-01,9.638662E+03,9.388348E+02,3.258547E-01,6.619340E-02,1.472540E+04,1.432791E+03,4.978267E-01,1.010192E-01,9.696538E+03,1.213062E+03,3.278113E-01,8.553000E-02
00:20:00,6.081079E+03,3.386010E+03,2.056389E-01,2.386806E-01,8.145190E+03,8.083799E+03,2.754393E-01,5.698298E-01,2.648090E+04,9.928356E+03,8.954829E-01,6.998494E-01,9.837321E+03,4.077747E+01,3.325690E-01,2.874424E-03,6.532833E+03,2.757478E+02,2.208525E-01,1.945361E-02,9.691106E+03,4.201014E+02,3.276258E-01,2.966687E-02,6.522352E+03,1.922358E+02,2.204982E-01,1.355151E-02,1.062500E+04,1.154101E+03,3.591990E-01,8.136925E-02,7.005478E+03,7.073392E+02,2.368316E-01,4.987067E-02,1.049926E+04,1.070432E+03,3.549479E-01,7.546964E-02,7.038996E+03,9.671099E+02,2.379648E-01,6.818768E-02,1.482277E+04,1.514161E+03,5.011186E-01,1.067576E-01,9.643593E+03,9.354066E+02,3.260214E-01,6.595217E-02,1.473327E+04,1.428822E+03,4.980927E-01,1.007401E-01,9.701467E+03,1.201523E+03,3.279780E-01,8.471683E-02
00:30:00,6.087053E+03,3.431789E+03,2.058409E-01,2.419076E-01,8.150463E+03,8.189089E+03,2.756176E-01,5.772503E-01,2.651630E+04,9.968622E+03,8.966801E-01,7.026859E-01,9.838079E+03,3.833943E+01,3.325946E-01,2.702484E-03,6.533310E+03,2.757478E+02,2.208687E-01,1.945361E-02,9.691866E+03,4.196020E+02,3.276515E-01,2.962450E-02,6.522830E+03,1.832107E+02,2.205144E-01,1.291531E-02,1.062621E+04,1.158021E+03,3.592397E-01,8.164619E-02,7.006239E+03,7.098040E+02,2.368574E-01,5.004479E-02,1.050047E+04,1.075591E+03,3.549888E-01,7.583394E-02,7.039756E+03,9.628492E+02,2.379905E-01,6.788760E-02,1.483029E+04,1.503749E+03,5.013731E-01,1.060239E-01,9.648344E+03,9.288301E+02,3.261820E-01,6.548878E-02,1.474085E+04,1.420230E+03,4.983489E-01,1.001348E-01,9.706216E+03,1.186925E+03,3.281385E-01,8.368777E-02
00:40:00,6.092911E+03,3.468834E+03,2.060390E-01,2.445188E-01,8.155719E+03,8.283029E+03,2.757953E-01,5.838707E-01,2.655051E+04,9.996039E+03,8.978370E-01,7.046166E-01,9.838824E+03,3.281643E+01,3.326198E-01,2.313177E-03,6.533781E+03,2.720024E+02,2.208846E-01,1.919256E-02,9.692614E+03,4.196020E+02,3.276768E-01,2.962450E-02,6.523301E+03,1.729940E+02,2.205303E-01,1.219509E-02,1.062741E+04,1.158654E+03,3.592803E-01,8.169121E-02,7.006997E+03,7.100981E+02,2.368830E-01,5.006578E-02,1.050168E+04,1.077649E+03,3.550296E-01,7.597938E-02,7.040514E+03,9.563839E+02,2.380161E-01,6.743194E-02,1.483755E+04,1.489712E+03,5.016186E-01,1.050345E-01,9.652926E+03,9.198461E+02,3.263369E-01,6.485550E-02,1.474816E+04,1.408103E+03,4.985960E-01,9.928006E-02,9.710795E+03,1.170086E+03,3.282933E-01,8.250053E-02
00:50:00,6.098657E+03,3.499128E+03,2.062333E-01,2.466541E-01,8.160958E+03,8.367778E+03,2.759725E-01,5.898430E-01,2.658359E+04,1.001324E+04,8.989558E-01,7.058269E-01,9.839558E+03,2.513325E+01,3.326446E-01,1.771602E-03,6.534244E+03,2.720024E+02,2.209002E-01,1.919256E-02,9.693351E+03,4.124066E+02,3.277017E-01,2.912585E-02,6.523764E+03,1.619227E+02,2.205459E-01,1.141460E-02,1.062860E+04,1.156727E+03,3.593208E-01,8.155556E-02,7.007752E+03,7.086948E+02,2.369085E-01,4.996699E-02,1.050288E+04,1.077279E+03,3.550702E-01,7.595360E-02,7.041269E+03,9.482844E+02,2.380416E-01,6.686093E-02,1.484456E+04,1.472927E+03,5.018555E-01,1.038511E-01,9.657347E+03,9.090312E+02,3.264864E-01,6.409301E-02,1.475521E+04,1.393289E+03,4.988344E-01,9.823567E-02,9.715213E+03,1.151627E+03,3.284427E-01,8.119894E-02
01:00:00,6.104294E+03,3.524238E+03,2.064239E-01,2.484238E-01,8.166179E+03,8.445034E+03,2.761490E-01,5.952871E-01,2.661560E+04,1.002226E+04,9.000382E-01,7.064611E-01,9.840281E+03,1.626061E+01,3.326691E-01,1.146182E-03,6.534700E+03,2.647541E+02,2.209156E-01,1.869313E-02,9.694076E+03,4.124066E+02,3.277262E-01,2.912585E-02,6.524220E+03,1.502471E+02,2.205613E-01,1.059151E-02,1.062980E+04,1.152816E+03,3.593610E-01,8.127996E-02,7.008503E+03,7.059719E+02,2.369339E-01,4.977510E-02,1.050407E+04,1.075021E+03,3.551106E-01,7.579456E-02,7.042020E+03,9.389892E+02,2.380670E-01,6.620553E-02,1.485133E+04,1.454074E+03,5.020842E-01,1.025218E-01,9.661615E+03,8.968352E+02,3.266307E-01,6.323306E-02,1.476202E+04,1.376446E+03,4.990646E-01,9.704806E-02,9.719479E+03,1.132021E+03,3.285869E-01,7.981637E-02
01:10:00,6.109998E+03,3.563702E+03,2.066168E-01,2.512054E-01,8.171797E+03,8.534710E+03,2.763390E-01,6.016067E-01,2.664686E+04,1.004335E+04,9.010951E-01,7.079455E-01,9.841031E+03,1.586226E+02,3.326944E-01,1.118196E-02,6.535173E+03,2.647541E+02,2.209316E-01,1.869313E-02,9.694829E+03,4.054766E+02,3.277516E-01,2.865528E-02,6.524693E+03,1.408002E+02,2.205773E-01,9.925523E-03,1.063108E+04,1.151623E+03,3.594043E-01,8.119592E-02,7.009311E+03,7.049265E+02,2.369612E-01,4.970141E-02,1.050536E+04,1.075537E+03,3.551541E-01,7.583102E-02,7.042828E+03,9.315539E+02,2.380943E-01,6.568119E-02,1.485792E+04,1.437943E+03,5.023072E-01,1.013842E-01,9.665776E+03,8.863157E+02,3.267714E-01,6.249124E-02,1.476865E+04,1.362340E+03,4.992890E-01,9.605336E-02,9.723637E+03,1.114353E+03,3.287275E-01,7.857037E-02
01:20:00,6.115596E+03,3.600461E+03,2.068061E-01,2.537962E-01,8.177392E+03,8.619873E+03,2.765282E-01,6.076081E-01,2.667714E+04,1.005977E+04,9.021190E-01,7.091009E-01,9.841769E+03,1.542630E+02,3.327194E-01,1.087466E-02,6.535639E+03,2.590890E+02,2.209474E-01,1.830362E-02,9.695571E+03,4.054766E+02,3.277767E-01,2.865528E-02,6.525159E+03,1.313736E+02,2.205931E-01,9.260975E-03,1.063235E+04,1.149763E+03,3.594473E-01,8.106476E-02,7.010115E+03,7.034272E+02,2.369884E-01,4.959572E-02,1.050664E+04,1.075424E+03,3.551973E-01,7.582311E-02,7.043631E+03,9.238588E+02,2.381215E-01,6.513852E-02,1.486430E+04,1.421204E+03,5.025228E-01,1.002038E-01,9.669798E+03,8.753788E+02,3.269074E-01,6.171999E-02,1.477507E+04,1.347629E+03,4.995060E-01,9.501603E-02,9.727657E+03,1.096529E+03,3.288635E-01,7.731333E-02
01:30:00,6.121090E+03,3.634659E+03,2.069919E-01,2.562065E-01,8.182961E+03,8.701032E+03,2.767165E-01,6.133274E-01,2.670648E+04,1.007219E+04,9.031113E-01,7.099749E-01,9.842497E+03,2.953154E+02,3.327440E-01,2.082388E-02,6.536099E+03,2.590890E+02,2.209629E-01,1.830362E-02,9.696302E+03,3.983053E+02,3.278014E-01,2.816191E-02,6.525619E+03,1.220597E+02,2.206086E-01,8.604373E-03,1.063362E+04,1.147473E+03,3.594902E-01,8.090330E-02,7.010915E+03,7.016351E+02,2.370154E-01,4.946936E-02,1.050791E+04,1.074907E+03,3.552404E-01,7.578670E-02,7.044431E+03,9.160692E+02,2.381485E-01,6.458918E-02,1.487047E+04,1.404132E+03,5.027314E-01,9.899990E-02,9.673689E+03,8.642104E+02,3.270389E-01,6.093240E-02,1.478128E+04,1.332580E+03,4.997158E-01,9.395483E-02,9.731546E+03,1.078728E+03,3.289949E-01,7.605796E-02
01:40:00,6.126483E+03,3.666671E+03,2.071743E-01,2.584626E-01,8.188505E+03,8.778800E+03,2.769040E-01,6.188078E-01,2.673493E+04,1.008139E+04,9.040735E-01,7.106222E-01,9.843215E+03,2.929312E+02,3.327683E-01,2.065582E-02,6.536551E+03,2.530795E+02,2.209782E-01,1.789050E-02,9.697022E+03,3.983053E+02,3.278258E-01,2.816191E-02,6.526071E+03,1.129456E+02,2.206239E-01,7.961861E-03,1.063488E+04,1.144976E+03,3.595328E-01,8.072719E-02,7.011711E+03,6.996989E+02,2.370424E-01,4.933282E-02,1.050918E+04,1.074198E+03,3.552832E-01,7.573668E-02,7.045227E+03,9.083379E+02,2.381754E-01,6.404393E-02,1.487644E+04,1.386986E+03,5.029333E-01,9.779074E-02,9.677454E+03,8.529829E+02,3.271662E-01,6.014063E-02,1.478728E+04,1.317444E+03,4.999189E-01,9.288745E-02,9.735309E+03,1.061117E+03,3.291221E-01,7.481599E-02
